File Name,Size (KB),Type,Modified Time,Path
ror2-junk-pot2_bin_assets_all.bundle,156.38,.bundle,2025-05-14 15:15:09.139927,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-pot2_bin_assets_all.bundle
ror2-junk-pot2_text_assets_all.bundle,36.73,.bundle,2025-05-14 15:15:08.447151,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-pot2_text_assets_all.bundle
ror2-junk-potmobile2_text_assets_all.bundle,14.32,.bundle,2025-05-14 15:15:07.840474,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-potmobile2_text_assets_all.bundle
ror2-junk-potmobile_bin_assets_all.bundle,2619.56,.bundle,2025-05-14 15:15:24.586863,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-potmobile_bin_assets_all.bundle
ror2-junk-potmobile_text_assets_all.bundle,46.64,.bundle,2025-05-14 15:15:08.722509,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-potmobile_text_assets_all.bundle
ror2-junk-regenonkill_text_assets_all.bundle,31.27,.bundle,2025-05-14 15:15:08.075990,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-regenonkill_text_assets_all.bundle
ror2-junk-repeatheal_text_assets_all.bundle,1.91,.bundle,2025-05-14 15:15:07.371863,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-repeatheal_text_assets_all.bundle
ror2-junk-roboballboss_text_assets_all.bundle,4.92,.bundle,2025-05-14 15:15:07.628312,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-roboballboss_text_assets_all.bundle
ror2-junk-satellitescene_scenedef_assets_all.bundle,2.81,.bundle,2025-05-14 15:15:07.273171,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-satellitescene_scenedef_assets_all.bundle
ror2-junk-satellitescene_scenes_all.bundle,1504.74,.bundle,2025-05-14 15:15:24.566863,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-satellitescene_scenes_all.bundle
